TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;23,84;;-11,40;3,11;1,10;30,83;-1,55;-22,50;-165,71;-216,26;-50,55;0,95;2,56;-11,28;-1,32;0,63;-27,28;-9,62;-1,08;0,35;0,63;0,43;0,13;;6.044.723,81;7,67;-2,09;-0,02;2.820.100.733,44
ABCB4;18,14;8,64;5,29;0,78;0,08;30,57;22,37;17,25;4,08;4,08;;;0,91;-1,82;-0,08;0,13;14,65;1,45;;0,10;0,91;0,08;18,70;12,65;18.507.634,96;23,40;3,43;0,22;4.101.274.740,52
ABEV3;14,85;5,13;15,87;2,75;1,73;49,71;22,46;18,03;12,73;12,26;-0,48;-0,10;2,86;-922,17;-2,34;0,99;17,35;10,88;19,66;0,63;0,36;0,60;10,72;15,19;318.478.051,08;5,40;0,94;1,66;233.944.424.267,40
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,36;;-8,97;1,21;0,32;13,11;9,22;-4,20;4,09;7,96;3,87;1,14;0,38;1,04;-0,87;1,93;-13,47;-3,53;8,73;0,26;0,74;0,84;;;9.520.080,65;1,13;-0,15;0,03;1.042.050.300,16
AESB3;12,14;0,89;57,74;1,66;0,37;33,16;25,99;4,28;9,52;19,80;10,29;1,79;2,47;2,26;-0,49;2,80;2,88;0,63;3,84;0,22;0,72;0,15;;;20.929.480,88;7,31;0,21;;7.307.397.555,54
AFLT3;9,43;2,79;15,17;2,19;1,93;59,73;49,97;48,96;14,86;14,39;-0,47;-0,07;7,43;10,22;-2,56;4,34;14,46;12,72;13,28;0,88;0,12;0,26;24,96;25,66;5.982,00;4,30;0,62;-0,25;594.888.721,00
AGRO3;25,86;12,52;46,50;1,30;0,79;14,46;5,37;4,93;42,62;53,22;10,60;0,32;2,29;3,50;-1,34;2,25;2,79;1,71;1,65;0,61;0,39;0,35;59,78;15,83;14.443.327,12;19,91;0,56;-0,50;2.647.469.426,88
AGXY3;5,90;0,67;22,86;0,70;0,09;13,59;5,16;0,39;1,74;3,83;2,09;0,84;0,09;1,16;-0,58;1,10;3,06;0,40;15,79;0,13;0,87;1,01;;;550.325,15;8,45;0,26;-0,45;1.007.867.435,10
AHEB3;22,09;;2,87;26,05;0,52;40,25;24,45;15,94;1,87;1,47;-0,40;-5,56;0,46;5,06;-0,88;1,34;908,67;18,19;692,14;0,02;0,98;1,14;20,77;;3.314,50;0,85;7,70;-0,01;188.246.317,43
AHEB5;18,50;;2,40;21,82;0,44;40,25;24,45;15,94;1,57;1,47;-0,40;-5,56;0,38;4,24;-0,74;1,34;908,67;18,19;692,14;0,02;0,98;1,14;20,77;;4.426,00;0,85;7,70;-0,01;188.246.317,43
AHEB6;18,51;;2,40;21,83;0,44;40,25;24,45;15,94;1,57;1,47;-0,40;-5,56;0,38;4,24;-0,74;1,34;908,67;18,19;692,14;0,02;0,98;1,14;20,77;;1.851,00;0,85;7,70;-0,01;188.246.317,43
ALLD3;7,20;4,92;9,59;0,44;0,18;14,74;3,78;1,37;3,46;5,18;1,72;0,22;0,13;0,63;-0,61;1,70;4,62;1,90;7,70;0,41;0,59;1,39;14,71;29,93;513.925,35;16,26;0,75;-0,13;671.188.190,40
ALPA3;10,04;;-61,77;1,24;0,84;45,10;-3,22;-2,67;-51,24;-55,81;-6,73;0,16;1,65;3,49;-1,42;2,50;-2,01;-1,37;-2,56;0,68;0,32;0,51;2,36;;67.081,77;8,07;-0,16;0,52;6.569.361.421,16
ALPA4;9,20;;-56,61;1,14;0,77;45,10;-3,22;-2,67;-46,95;-55,81;-6,73;0,16;1,51;3,20;-1,30;2,50;-2,01;-1,37;-2,56;0,68;0,32;0,51;2,36;;63.540.385,08;8,07;-0,16;0,48;6.569.361.421,16
ALPK3;4,97;;-7,16;2,78;0,39;29,35;8,26;-12,67;10,98;23,48;12,49;3,17;0,91;-4,16;-0,47;0,63;-38,84;-5,49;4,79;0,14;0,86;0,43;3,17;;2.516.970,58;1,79;-0,69;0,27;1.065.699.819,31
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALSO3;25,47;2,04;4,75;0,99;0,51;111,74;384,80;209,84;2,59;2,22;-0,38;-0,14;9,98;9,56;-0,57;1,93;20,82;10,71;25,62;0,51;0,45;0,05;25,65;85,92;126.999.473,35;25,74;5,36;0,00;14.618.173.072,23
ALUP11;29,45;5,30;12,50;1,25;0,31;79,84;71,68;20,19;3,52;7,02;3,50;1,24;2,52;3,00;-0,39;2,15;10,00;2,51;10,38;0,25;0,62;0,12;20,04;16,77;25.548.838,65;23,57;2,36;-0,30;8.975.139.827,60
ALUP3;9,92;5,24;12,63;1,26;0,32;79,84;71,68;20,19;3,56;7,02;3,50;1,24;2,55;3,03;-0,39;2,15;10,00;2,51;10,38;0,25;0,62;0,12;20,04;16,77;202.485,46;7,86;0,79;-0,31;8.975.139.827,60
ALUP4;9,90;5,25;12,60;1,26;0,32;79,84;71,68;20,19;3,55;7,02;3,50;1,24;2,54;3,03;-0,39;2,15;10,00;2,51;10,38;0,25;0,62;0,12;20,04;16,77;292.581,31;7,86;0,79;-0,31;8.975.139.827,60
AMAR3;0,91;;-0,67;0,85;0,11;38,66;-8,56;-16,96;-1,34;-6,55;-5,21;3,30;0,11;-22,68;-0,21;0,99;-125,64;-15,90;-16,04;0,13;0,87;0,94;-0,89;;7.552.085,46;1,07;-1,35;0,00;311.987.049,92
AMBP3;23,34;0,57;-32,22;2,19;0,26;22,22;15,80;-1,96;4,00;10,04;6,03;3,29;0,63;0,88;-0,46;2,85;-6,78;-0,79;6,58;0,12;0,83;0,40;83,52;;28.042.881,88;10,68;-0,72;0,21;2.635.916.623,92
AMER3;1,16;;24,41;0,07;0,02;30,68;4,18;0,15;0,89;8,54;7,64;0,59;0,04;0,12;-0,04;1,84;0,28;0,10;1,24;0,35;0,65;0,65;21,42;;22.601.283,46;16,74;0,05;-0,63;1.046.934.223,48
